,Date,Airline,Origin,Destination,DepTime,DepDelay,ArrTime,ArrDelay,AirTime,Distance,FlightNumber
0,2018-01-04,Delta Air Lines Inc.,MSP,MCO,1315.0,0.0,1710.0,0.0,148.0,1310.0,1487
1,2018-01-04,Delta Air Lines Inc.,ORD,ATL,1618.0,0.0,1903.0,0.0,82.0,606.0,1612
2,2018-01-15,Delta Air Lines Inc.,SLC,SEA,1117.0,0.0,1207.0,0.0,91.0,689.0,1099
3,2018-01-15,Delta Air Lines Inc.,ATL,CAK,942.0,0.0,1117.0,0.0,76.0,528.0,1190
4,2018-01-15,Delta Air Lines Inc.,ATL,HOU,1402.0,3.0,1513.0,0.0,115.0,696.0,1398
5,2018-01-15,Delta Air Lines Inc.,ATL,MCI,1941.0,11.0,2059.0,9.0,116.0,692.0,1926
6,2018-01-15,Delta Air Lines Inc.,MSP,DEN,1942.0,0.0,2044.0,0.0,86.0,680.0,2009
7,2018-01-15,Delta Air Lines Inc.,GPT,ATL,947.0,0.0,1203.0,0.0,51.0,352.0,2312
8,2018-01-15,Delta Air Lines Inc.,MSN,ATL,1705.0,0.0,2025.0,1.0,100.0,707.0,2469
9,2018-01-15,Delta Air Lines Inc.,SFO,BOS,1154.0,0.0,2057.0,16.0,306.0,2704.0,2610
10,2018-01-15,Delta Air Lines Inc.,DTW,SFO,1214.0,0.0,1430.0,0.0,275.0,2079.0,2621
11,2018-01-16,Delta Air Lines Inc.,BDL,ATL,605.0,5.0,900.0,3.0,141.0,859.0,1065
12,2018-01-16,Delta Air Lines Inc.,BOS,LAX,734.0,0.0,1053.0,0.0,344.0,2611.0,1253
13,2018-01-16,Delta Air Lines Inc.,ATL,JAX,1454.0,0.0,1555.0,0.0,45.0,270.0,1416
14,2018-01-16,Delta Air Lines Inc.,SEA,DTW,557.0,0.0,1357.0,33.0,240.0,1927.0,1444
15,2018-01-16,Delta Air Lines Inc.,TPA,DTW,1831.0,0.0,2051.0,0.0,118.0,983.0,1538
16,2018-01-16,Delta Air Lines Inc.,LAX,MCO,1456.0,6.0,2231.0,0.0,248.0,2218.0,1649
17,2018-01-16,Delta Air Lines Inc.,ATL,CAE,1723.0,0.0,1811.0,0.0,32.0,192.0,1653
18,2018-01-16,Delta Air Lines Inc.,MSP,SNA,1803.0,18.0,1927.0,0.0,186.0,1522.0,1782
19,2018-01-16,Delta Air Lines Inc.,MIA,LGA,2004.0,9.0,2236.0,0.0,127.0,1096.0,2168
20,2018-01-16,Delta Air Lines Inc.,SEA,SLC,1308.0,0.0,1556.0,0.0,92.0,689.0,2301
21,2018-01-16,Delta Air Lines Inc.,MLB,ATL,1454.0,39.0,1623.0,24.0,67.0,442.0,2461
22,2018-10-30,Delta Air Lines Inc.,BOS,ATL,909.0,0.0,1142.0,0.0,126.0,946.0,2285
23,2018-10-14,Southwest Airlines Co.,MDW,BWI,1129.0,14.0,1358.0,0.0,79.0,611.0,2735
24,2018-10-14,Southwest Airlines Co.,MDW,HOU,1958.0,0.0,2236.0,0.0,140.0,937.0,5566
25,2018-10-22,Southwest Airlines Co.,DEN,PHX,1957.0,2.0,2051.0,6.0,98.0,602.0,1326
26,2018-10-22,Southwest Airlines Co.,GEG,SMF,1013.0,0.0,1155.0,0.0,88.0,649.0,2074
27,2018-10-22,Southwest Airlines Co.,HOU,BWI,903.0,0.0,1250.0,0.0,146.0,1246.0,1716
28,2018-10-22,Southwest Airlines Co.,HOU,PHX,1349.0,0.0,1439.0,9.0,141.0,1020.0,2483
29,2018-10-22,Southwest Airlines Co.,LAX,TUS,946.0,0.0,1113.0,0.0,62.0,451.0,1595
30,2018-10-22,Southwest Airlines Co.,MCO,BNA,807.0,22.0,856.0,16.0,94.0,616.0,550
31,2018-10-22,Southwest Airlines Co.,MDW,CLT,1536.0,66.0,1805.0,45.0,74.0,584.0,2105
32,2018-10-22,Southwest Airlines Co.,PHX,OAK,1149.0,0.0,1353.0,3.0,98.0,646.0,518
33,2018-10-23,Southwest Airlines Co.,BWI,DTW,1408.0,13.0,1538.0,8.0,73.0,409.0,2458
34,2018-10-23,Southwest Airlines Co.,DAL,LGA,1009.0,0.0,1402.0,0.0,158.0,1381.0,2178
35,2018-10-23,Southwest Airlines Co.,IAD,DEN,1517.0,0.0,1706.0,0.0,212.0,1452.0,1466
36,2018-10-27,Southwest Airlines Co.,BUR,LAS,1659.0,0.0,1756.0,0.0,43.0,223.0,4180
37,2018-10-27,Southwest Airlines Co.,DEN,MKE,1042.0,0.0,1356.0,0.0,109.0,896.0,4769
38,2018-10-04,Southwest Airlines Co.,LBB,DAL,1410.0,0.0,1512.0,0.0,49.0,293.0,421
39,2018-10-04,Southwest Airlines Co.,SJC,LAS,646.0,1.0,801.0,0.0,60.0,386.0,2516
40,2018-10-04,Southwest Airlines Co.,SJC,SNA,815.0,5.0,932.0,7.0,62.0,342.0,983
41,2018-10-07,Southwest Airlines Co.,ELP,DAL,702.0,0.0,938.0,0.0,81.0,562.0,3683
42,2018-10-26,Spirit Air Lines,LBE,FLL,1925.0,0.0,2152.0,0.0,129.0,980.0,727
43,2018-10-28,Spirit Air Lines,DTW,BWI,836.0,0.0,1002.0,0.0,65.0,409.0,781
44,2018-10-06,Spirit Air Lines,ATL,FLL,1615.0,19.0,1803.0,19.0,82.0,581.0,808
45,2018-10-03,Spirit Air Lines,MSY,DTW,1057.0,0.0,1432.0,0.0,131.0,926.0,810
46,2018-10-14,Spirit Air Lines,BWI,ATL,1221.0,0.0,1413.0,0.0,89.0,577.0,821
47,2018-10-11,Spirit Air Lines,DEN,LAS,1523.0,8.0,1621.0,11.0,95.0,628.0,847
48,2018-10-11,Spirit Air Lines,SAN,IAH,713.0,0.0,1204.0,0.0,145.0,1303.0,858
49,2018-10-06,SkyWest Airlines Inc.,TVC,DTW,1351.0,0.0,1449.0,0.0,39.0,207.0,3804
50,2018-10-06,SkyWest Airlines Inc.,DEN,RAP,950.0,5.0,1113.0,11.0,47.0,300.0,5242
51,2018-10-19,SkyWest Airlines Inc.,IND,ORD,1830.0,0.0,1837.0,0.0,41.0,177.0,5962
52,2018-10-20,SkyWest Airlines Inc.,DFW,ASE,839.0,0.0,944.0,0.0,104.0,701.0,3250
53,2018-10-20,SkyWest Airlines Inc.,DEN,PSP,1239.0,0.0,1342.0,0.0,106.0,776.0,5265
54,2018-10-26,SkyWest Airlines Inc.,SFO,RDM,1752.0,0.0,1916.0,0.0,64.0,462.0,5528
55,2018-10-26,SkyWest Airlines Inc.,SLC,SGU,1656.0,1.0,1754.0,0.0,42.0,272.0,7395
56,2018-10-27,SkyWest Airlines Inc.,ORD,CLE,1312.0,0.0,1521.0,0.0,52.0,315.0,3026
57,2018-10-27,SkyWest Airlines Inc.,SLC,LGB,1303.0,108.0,1347.0,96.0,89.0,588.0,4589
58,2018-10-28,SkyWest Airlines Inc.,DTW,GRR,1352.0,0.0,1445.0,0.0,33.0,120.0,3721
59,2018-10-28,SkyWest Airlines Inc.,SEA,LAX,1903.0,0.0,2203.0,8.0,135.0,954.0,5191
60,2018-10-28,SkyWest Airlines Inc.,SFO,RDD,831.0,0.0,930.0,0.0,31.0,199.0,5766
61,2018-10-29,SkyWest Airlines Inc.,BOI,SJC,958.0,0.0,1042.0,0.0,92.0,523.0,3387
62,2018-10-29,SkyWest Airlines Inc.,ROA,ATL,1045.0,4.0,1210.0,6.0,58.0,357.0,3578
63,2018-10-29,SkyWest Airlines Inc.,ATL,GNV,2223.0,0.0,2325.0,0.0,45.0,300.0,3777
64,2018-10-18,SkyWest Airlines Inc.,CLT,FWA,1758.0,0.0,1936.0,11.0,71.0,460.0,2965
65,2018-10-18,SkyWest Airlines Inc.,ORF,ORD,719.0,0.0,848.0,0.0,111.0,717.0,3265
66,2018-10-18,SkyWest Airlines Inc.,DTW,LAN,2029.0,2.0,2113.0,0.0,19.0,74.0,3873
67,2018-10-18,SkyWest Airlines Inc.,DTW,SBN,2018.0,0.0,2104.0,0.0,30.0,157.0,4754
68,2018-10-18,SkyWest Airlines Inc.,ORD,FWA,2102.0,0.0,2312.0,0.0,30.0,157.0,5049
69,2018-10-18,SkyWest Airlines Inc.,SGU,DEN,1332.0,0.0,1508.0,0.0,72.0,517.0,5152
70,2018-10-10,SkyWest Airlines Inc.,SEA,PDX,1707.0,0.0,1755.0,0.0,32.0,129.0,3827
71,2018-10-10,SkyWest Airlines Inc.,FAY,ATL,953.0,0.0,1123.0,0.0,68.0,331.0,3900
72,2018-10-10,SkyWest Airlines Inc.,FWA,ATL,618.0,0.0,810.0,0.0,92.0,508.0,4533
73,2018-10-10,SkyWest Airlines Inc.,SLC,TUS,844.0,0.0,950.0,8.0,84.0,601.0,4567
74,2018-10-10,SkyWest Airlines Inc.,MSP,SBN,2043.0,13.0,2338.0,33.0,68.0,411.0,4700
75,2018-10-10,SkyWest Airlines Inc.,ATL,SBN,1819.0,0.0,1949.0,0.0,78.0,566.0,4824
